"","t0","t1","t5","t22"
"119",3.22411731167686e-05,4.35275020124033e-05,5.72971481640735e-05,5.31108428587629e-05
"120",3.13478327468329e-05,3.22411731167686e-05,4.64912610916043e-05,5.10654287081017e-05
"121",3.32350042151747e-05,3.13478327468329e-05,4.15323315103843e-05,4.92302894913515e-05
"122",3.3778952111909e-05,3.32350042151747e-05,4.45042311652041e-05,4.80443110163816e-05
"123",3.7268947486197e-05,3.3778952111909e-05,3.48260928406177e-05,4.81359791729212e-05
"124",5.57053473392937e-05,3.7268947486197e-05,3.35743819353764e-05,4.72836701258766e-05
"125",3.87408159045763e-05,5.57053473392937e-05,3.82672167798815e-05,4.77952361692677e-05
"126",6.39270672587092e-05,3.87408159045763e-05,3.97458134114301e-05,4.8024027872555e-05
"127",8.02618099815989e-05,6.39270672587092e-05,4.5884226020137e-05,4.93243392075607e-05
"128",8.00221274947988e-05,8.02618099815989e-05,5.5180797594075e-05,4.99873003626366e-05
"129",5.93864897741656e-05,8.00221274947988e-05,6.37314335957954e-05,5.16447264070391e-05
"130",3.56921516577325e-05,5.93864897741656e-05,6.44676620827697e-05,5.23042808914165e-05
"131",6.52307516615239e-05,3.56921516577325e-05,6.3857929233401e-05,5.27823732489281e-05
"132",4.78503328691276e-05,6.52307516615239e-05,6.41186661139639e-05,5.33745184477124e-05
"133",9.60515168783224e-05,4.78503328691276e-05,5.76363706914697e-05,5.30359870243825e-05
"134",4.29964219913957e-05,9.60515168783224e-05,6.08422485681744e-05,5.54460758415878e-05
"135",0.000106284141889279,4.29964219913957e-05,5.75642350116204e-05,5.50973372020684e-05
"136",6.87823201744744e-05,0.000106284141889279,7.16826330579298e-05,5.57503011453533e-05
"137",0.000110184559974967,6.87823201744744e-05,7.23929467605199e-05,5.49553789496879e-05
"138",0.000113041359649627,0.000110184559974967,8.48597921816879e-05,5.74118371006895e-05
"139",9.18782007411688e-05,0.000113041359649627,8.82577607359487e-05,6.17148304510781e-05
"140",6.01336326861066e-05,9.18782007411688e-05,9.80341164859033e-05,6.21561284968203e-05
"141",8.15055634906829e-05,6.01336326861066e-05,8.88040146452688e-05,6.29109526183523e-05
"142",8.2241129340244e-05,8.15055634906829e-05,9.13486633085105e-05,6.51502430898938e-05
"143",7.9850169485402e-05,8.2241129340244e-05,8.57599771815658e-05,6.74635747532307e-05
