"","t0","t1","t5","t22"
"72",5.34598050700854e-05,9.13427534065523e-05,8.82241345583431e-05,8.30497099848516e-05
"73",7.2585328337259e-05,5.34598050700854e-05,9.24767384271124e-05,8.32581629177867e-05
"74",6.3390967713174e-05,7.2585328337259e-05,0.000100082385589912,8.34594698147133e-05
"75",9.63669462699946e-05,6.3390967713174e-05,0.000105192695541916,7.81443597779517e-05
"76",0.000178603141137587,9.63669462699946e-05,7.5429160159413e-05,7.96020190440279e-05
"77",0.000145456055099961,0.000178603141137587,9.288123770562e-05,8.55634430775645e-05
"78",0.000101291988322975,0.000145456055099961,0.000111280487711595,9.0509995843986e-05
"79",0.000126115139218791,0.000101291988322975,0.000117021819708738,9.2910976686411e-05
"80",0.000114969411326974,0.000126115139218791,0.000129566654009862,9.73321102610976e-05
"81",0.000140883715367007,0.000114969411326974,0.000133287147021258,9.7021199599822e-05
"82",0.000123590006700462,0.000140883715367007,0.000125743261867142,9.51040587513776e-05
"83",5.02464854375371e-05,0.000123590006700462,0.000121370052187242,9.72979217927608e-05
"84",6.22945301712171e-05,5.02464854375371e-05,0.000111160951610154,9.68175210184342e-05
"85",4.71082166455079e-05,6.22945301712171e-05,9.83968298006393e-05,9.71772834377226e-05
"86",3.63940799034826e-05,4.71082166455079e-05,8.48245908643461e-05,9.59471182939536e-05
"87",4.51508300528259e-05,3.63940799034826e-05,6.39266637716413e-05,9.08968064356448e-05
"88",3.61993158067375e-05,4.51508300528259e-05,4.82388284421141e-05,8.84049019429604e-05
"89",3.97877047576305e-05,3.61993158067375e-05,4.54293945159542e-05,8.79648470624224e-05
"90",7.66676558667939e-05,3.97877047576305e-05,4.09280294332369e-05,8.83098888365766e-05
"91",3.09556229511751e-05,7.66676558667939e-05,4.68399172774941e-05,9.02240053521917e-05
"92",3.61565228651849e-05,3.09556229511751e-05,4.57522258870326e-05,8.99111055793744e-05
"93",2.99298774105538e-05,3.61565228651849e-05,4.39533644495044e-05,8.04098282922234e-05
"94",2.53618106378848e-05,2.99298774105538e-05,4.26994767702676e-05,7.76183339287689e-05
"95",3.51645536294442e-05,2.53618106378848e-05,3.98142979463185e-05,7.63411523636689e-05
"96",3.43845468044449e-05,3.51645536294442e-05,3.15136774988485e-05,7.46402080587682e-05
"97",5.0431224717476e-05,3.43845468044449e-05,3.21994622695025e-05,7.33217343810987e-05
"98",2.96247044786695e-05,5.0431224717476e-05,3.50544026399607e-05,7.12337470378024e-05
"99",3.88707740534649e-05,2.96247044786695e-05,3.49933680535839e-05,6.44619999169425e-05
"100",4.22290743253856e-05,3.88707740534649e-05,3.76951607366999e-05,5.96172144148291e-05
"101",5.58138190030407e-05,4.22290743253856e-05,3.91080648758882e-05,5.69325365058477e-05
"102",3.32204082396085e-05,5.58138190030407e-05,4.33939193156074e-05,5.37370219505863e-05
"103",3.4022242442764e-05,3.32204082396085e-05,3.99517560200338e-05,5.00211581738879e-05
"104",3.46861736313987e-05,3.4022242442764e-05,4.08312636128527e-05,4.51638184955132e-05
"105",1.72764872243411e-05,3.46861736313987e-05,3.99943435284395e-05,4.11227351741922e-05
"106",5.41769772762084e-05,1.72764872243411e-05,3.50038261082306e-05,3.96240988917742e-05
"107",7.74955675937515e-05,5.41769772762084e-05,3.46764577628641e-05,3.92551192147283e-05
"108",3.52870926206663e-05,7.74955675937515e-05,4.35314896336927e-05,4.06363624396485e-05
"109",3.33632416434874e-05,3.52870926206663e-05,4.37844596692732e-05,4.05860448358841e-05
"110",4.91965770235288e-05,3.33632416434874e-05,4.35198732716909e-05,4.00502453627324e-05
"111",4.14595436688831e-05,4.91965770235288e-05,4.99038912315285e-05,4.06410299634956e-05
"112",7.85016905193879e-05,4.14595436688831e-05,4.73604045100634e-05,4.07170226412798e-05
"113",6.21846758201001e-05,7.85016905193879e-05,4.75616290951907e-05,4.08003878527614e-05
"114",5.34354479402295e-05,6.21846758201001e-05,5.29411457350774e-05,4.22198902558943e-05
"115",3.3753546895654e-05,5.34354479402295e-05,5.69555869944259e-05,4.30052959411236e-05
"116",3.93920676850114e-05,3.3753546895654e-05,5.38669809688509e-05,4.31790990995373e-05
"117",5.05763383445649e-05,3.93920676850114e-05,5.34534857720766e-05,4.38168380562248e-05
"118",4.83179327500264e-05,5.05763383445649e-05,4.7868415337112e-05,4.4517373725094e-05
"119",3.94437756062566e-05,4.83179327500264e-05,4.50950667230972e-05,4.51507094498931e-05
"120",4.2121386681249e-05,3.94437756062566e-05,4.22967322563026e-05,4.46512799448377e-05
"121",8.7804013262743e-05,4.2121386681249e-05,4.39703002134217e-05,4.52193109540458e-05
"122",4.81780536240744e-05,8.7804013262743e-05,5.3652689328968e-05,4.74435490999221e-05
"123",5.33921077709771e-05,4.81780536240744e-05,5.31730323848699e-05,4.77139572498625e-05
