"","t0","t1","t5","t22"
"80",0.000108213780549883,0.00017521950059898,0.000121115366661171,8.60169978366078e-05
"81",0.000113335217422556,0.000108213780549883,0.000130677124271699,8.74076987183651e-05
"82",9.73643249012258e-05,0.000113335217422556,0.000128636089541672,8.93519223841387e-05
"83",4.58455294600375e-05,9.73643249012258e-05,0.000125545664144989,8.89628984637571e-05
"84",5.93058693573008e-05,4.58455294600375e-05,0.000107995670586536,8.8959416742786e-05
"85",8.00197506497576e-05,5.93058693573008e-05,8.48129443382006e-05,8.98010483942973e-05
"86",4.35058204494529e-05,8.00197506497576e-05,7.91741383581756e-05,9.14660165195902e-05
"87",7.80057040430369e-05,4.35058204494529e-05,6.52082589635549e-05,9.01061993156956e-05
"88",9.00005996383954e-05,7.80057040430369e-05,6.13365347919171e-05,9.07636750443554e-05
"89",5.08682935735804e-05,9.00005996383954e-05,7.01675488275887e-05,9.2722608724409e-05
"90",4.93663481396959e-05,5.08682935735804e-05,6.84800336708446e-05,9.26521880692027e-05
"91",3.89824085510916e-05,4.93663481396959e-05,6.23493531688323e-05,9.15733895602163e-05
"92",3.86261291376272e-05,3.89824085510916e-05,6.144467078916e-05,8.97430349767566e-05
"93",2.06477632593074e-05,3.86261291376272e-05,5.35687558080781e-05,8.57345284905321e-05
"94",4.26494991883478e-05,2.06477632593074e-05,3.96981885322605e-05,8.22201976898923e-05
"95",6.13217527742491e-05,4.26494991883478e-05,3.8054429655214e-05,7.83116802450221e-05
"96",2.47813244802679e-05,6.13217527742491e-05,4.04455105821246e-05,7.5994520463406e-05
"97",3.12508319729553e-05,2.47813244802679e-05,3.76052937679599e-05,7.4928043130985e-05
"98",3.54954104135073e-05,3.12508319729553e-05,3.61302343350255e-05,7.36028540162445e-05
"99",3.55175306308667e-05,3.54954104135073e-05,3.90997637658655e-05,6.96008094408271e-05
"100",3.40695401895342e-05,3.55175306308667e-05,3.76733700543693e-05,6.60872221111101e-05
"101",5.03661338894766e-05,3.40695401895342e-05,3.22229275374263e-05,6.15633149718935e-05
"102",2.09052683037027e-05,5.03661338894766e-05,3.7339889419268e-05,5.58881619396433e-05
"103",1.52545336963153e-05,2.09052683037027e-05,3.52707766854175e-05,5.19195932011806e-05
"104",5.40062723046295e-05,1.52545336963153e-05,3.12226013419791e-05,4.74613803045333e-05
"105",0.000100291354864364,5.40062723046295e-05,3.49203496767317e-05,4.54905597319607e-05
"106",6.37507196802513e-05,0.000100291354864364,4.81647126116977e-05,4.79653699776119e-05
"107",9.23184205914969e-05,6.37507196802513e-05,5.08416297698526e-05,4.81674086286551e-05
"108",5.50081249165767e-05,9.23184205914969e-05,6.51242602274115e-05,4.87264390805524e-05
"109",7.94267200196774e-05,5.50081249165767e-05,7.30749784714637e-05,4.92492711017853e-05
"110",0.000156184189967034,7.94267200196774e-05,7.81590680144733e-05,4.93138627370871e-05
"111",6.89836234035816e-05,0.000156184189967034,8.93376350350072e-05,5.23222077520252e-05
"112",7.49379216944434e-05,6.89836234035816e-05,9.03842157796733e-05,5.31456318352071e-05
"113",9.84767323201678e-05,7.49379216944434e-05,8.69081160002626e-05,5.43079760876956e-05
"114",7.55419451269684e-05,9.84767323201678e-05,9.56018374809808e-05,5.70122635317445e-05
"115",7.36736922686374e-05,7.55419451269684e-05,9.4824882502439e-05,5.86902551676237e-05
"116",7.39550160831126e-05,7.36736922686374e-05,7.83227829627597e-05,6.11005246680478e-05
"117",0.000113550655618168,7.39550160831126e-05,7.93170614986659e-05,6.25235027087189e-05
"118",8.13656190579863e-05,0.000113550655618168,8.70396082834109e-05,6.48975437470789e-05
"119",8.01285648802155e-05,8.13656190579863e-05,8.36173856309746e-05,6.74695571369752e-05
"120",3.70178396959045e-05,8.01285648802155e-05,8.45347095816241e-05,6.96912722691234e-05
"121",4.39131119725534e-05,3.70178396959045e-05,7.72035390670775e-05,6.97604736001414e-05
"122",4.18912888463735e-05,4.39131119725534e-05,7.11951582449656e-05,7.01420909338544e-05
"123",6.13485103590043e-05,4.18912888463735e-05,5.68632848906066e-05,7.04976249637108e-05
"124",8.54217008523404e-05,6.13485103590043e-05,5.28598631508102e-05,7.09968238941439e-05
"125",8.1580945840338e-05,8.54217008523404e-05,5.39184903452352e-05,7.3929389009991e-05
"126",0.000167181067981582,8.1580945840338e-05,6.28311115741219e-05,7.69442259256284e-05
"127",0.000268179980009219,0.000167181067981582,8.74847027759277e-05,8.20885348200354e-05
"128",0.000191135828655564,0.000268179980009219,0.000132742441008497,8.97198359629833e-05
"129",0.000122757628272649,0.000191135828655564,0.000158699904667809,9.55100681891338e-05
"130",0.000124126612029891,0.000122757628272649,0.00016616709015187,9.68936685382771e-05
"131",0.000151879145194775,0.000124126612029891,0.000174676223389781,0.000100035417952519
"132",9.94425210899627e-05,0.000151879145194775,0.000171615838832419,0.000103328710005932
"133",0.000204014646445191,9.94425210899627e-05,0.000137868347048568,0.000100749543238793
"134",0.000230835461380017,0.000204014646445191,0.000140444110606494,0.000106887317013411
"135",0.000168896929102304,0.000230835461380017,0.000162059677227967,0.000113973568817301
"136",7.4771558587347e-05,0.000168896929102304,0.00017101374064245,0.000117174486852853
"137",0.000100959196760359,7.4771558587347e-05,0.000155592223320964,0.00011713946928287
"138",0.000119162244129391,0.000100959196760359,0.000155895558455044,0.000118379719487039
"139",0.000116965988374024,0.000119162244129391,0.000138925077991884,0.000120434593489143
"140",9.35235952518315e-05,0.000116965988374024,0.000116151183390685,0.000120589835887136
"141",0.000104651679130259,9.35235952518315e-05,0.000101076516620591,0.000121142471168674
"142",7.43487024173824e-05,0.000104651679130259,0.000107052540729173,0.00012225715818004
"143",8.00050369093387e-05,7.43487024173824e-05,0.000101730441860578,0.000123954015576471
"144",6.49042352096707e-05,8.00050369093387e-05,9.38990004165673e-05,0.000125594557619052
